family,n,seed,kstar,D,peak_k
B5_shuffled,3,5,3,0.4444444444444443,3.375
B5_shuffled,3,6,1,0.2592592592592592,1.5
B5_shuffled,3,6,2,0.4629629629629629,2.25
B5_shuffled,3,6,3,0.574074074074074,3.375
B5_shuffled,3,7,1,0.2592592592592592,1.5
B5_shuffled,3,7,2,0.462962962962963,2.25
B5_shuffled,3,7,3,0.7222222222222223,3.375
B5_shuffled,3,8,1,0.2592592592592592,1.5
B5_shuffled,3,8,2,0.4814814814814814,2.25
B5_shuffled,3,8,3,0.5925925925925924,3.375
B5_shuffled,3,9,1,0.22222222222222227,1.5
B5_shuffled,3,9,2,0.4444444444444445,2.25
B5_shuffled,3,9,3,0.4444444444444445,3.375
B5_shuffled,3,10,1,0.2592592592592592,1.5
B5_shuffled,3,10,2,0.4814814814814814,2.25
B5_shuffled,3,10,3,0.5925925925925924,3.375
B5_shuffled,3,11,1,0.2592592592592592,1.5
B5_shuffled,3,11,2,0.4629629629629629,2.25
B5_shuffled,3,11,3,0.5740740740740741,3.375
B5_shuffled,3,12,1,0.2222222222222222,1.5
B5_shuffled,3,12,2,0.4444444444444444,2.25
B5_shuffled,3,12,3,0.4444444444444444,3.375
B5_shuffled,3,13,1,0.22222222222222224,1.5
B5_shuffled,3,13,2,0.42592592592592593,2.25
B5_shuffled,3,13,3,0.42592592592592593,3.375
B5_shuffled,3,14,1,0.22222222222222227,1.5
B5_shuffled,3,14,2,0.4444444444444444,2.25
B5_shuffled,3,14,3,0.4444444444444444,3.375
B5_shuffled,3,15,1,0.22222222222222224,1.5
B5_shuffled,3,15,2,0.42592592592592593,2.25
B5_shuffled,3,15,3,0.42592592592592593,3.375
B5_shuffled,3,16,1,0.2592592592592593,1.5
B5_shuffled,3,16,2,0.4814814814814816,2.25
B5_shuffled,3,16,3,0.5740740740740742,3.375
B5_shuffled,3,17,1,0.2592592592592592,1.5
B5_shuffled,3,17,2,0.5185185185185184,2.25
B5_shuffled,3,17,3,0.722222222222222,3.375
B5_shuffled,3,18,1,0.22222222222222224,1.5
B5_shuffled,3,18,2,0.4444444444444444,2.25
B5_shuffled,3,18,3,0.4444444444444444,3.375
B5_shuffled,3,19,1,0.2222222222222221,1.5
B5_shuffled,3,19,2,0.42592592592592615,2.25
B5_shuffled,3,19,3,0.42592592592592615,3.375
B5_shuffled,3,20,1,0.22222222222222218,1.5
B5_shuffled,3,20,2,0.4444444444444443,2.25
B5_shuffled,3,20,3,0.4444444444444443,3.375
B5_shuffled,3,21,1,0.2222222222222222,1.5
B5_shuffled,3,21,2,0.4444444444444443,2.25
B5_shuffled,3,21,3,0.4444444444444443,3.375
B5_shuffled,3,22,1,0.22222222222222224,1.5
B5_shuffled,3,22,2,0.42592592592592593,2.25
B5_shuffled,3,22,3,0.42592592592592593,3.375
B5_shuffled,3,23,1,0.2592592592592592,1.5
B5_shuffled,3,23,2,0.4814814814814813,2.25
B5_shuffled,3,23,3,0.5740740740740738,3.375
B5_shuffled,3,24,1,0.2592592592592593,1.5
B5_shuffled,3,24,2,0.4814814814814815,2.25
B5_shuffled,3,24,3,0.5740740740740741,3.375
B6_center_anchored,3,1,1,0.2592592592592592,1.5
B6_center_anchored,3,1,2,0.4814814814814814,2.25
B6_center_anchored,3,1,3,0.5925925925925926,3.375
